updated_description,updated_keywords,__index_level_0__,generated_keywords
"Foreign direct investment (FDI) is a category of investment that reflects the objective of establishing a lasting interest by a resident enterprise in one economy (direct investor) in an enterprise (direct investment enterprise) that is resident in an economy other than that of the direct investor. The lasting interest implies the existence of a long-term relationship between the direct investor and the direct investment enterprise and a significant degree of influence on the management of the enterprise. The lasting interest is deemed to exist if the investor acquires at least 10% of the voting power of the direct investment enterprise. Data are expressed as % of GDP to remove the effect of differences in the size of the economies of the reporting countries. FDI comprises: - Equity capital comprises equity in branches as well as all shares in subsidiaries and associates. - Reinvested earnings consist of the offsetting entry to the direct investor’s share of earnings not distributed as dividends by subsidiaries or associates, and earnings of branches not remitted to the direct investor and which are recorded under Investment income. - debt instruments Direct investment is classified primarily on a directional basis: 1) Resident direct investment abroad (Outward direct investment) 2) Non-resident investment in the reporting economy (Inward direct investment). The Inward direct investment is investment by a non-resident direct investor in a direct investment enterprise resident in the host economy; the direction of the influence by the direct investor is inward for the reporting economy. Starting from October 2014 definitions are based on the IMF's Sixth Balance of Payments Manual (BPM6).","BOP_item, Geopolitical entity (partner), Geopolitical entity (reporting), Seasonal adjustment, Stock or flow, Time frequency, Unit of measure",3041,"BOP_item, Geopolitical entity (partner), Geopolitic entity (reporting), Seasonal adjustment, Stock or flow, Time frequency, Unit of measure"
General Government Surplus/Deficit ESA2010,"GFQ10, cso, government-accounts",2676,"GFA09, cso, government-accounts"
Waiting times for GI Scope Procedures,"HSPAN15, cso, department-of-health",2206,"HSPAN12, cso, department-of-health"
Breakdown of complaints under Fingal County Councils Citizen Charter,"Citzens, Community, Fingal, Fingal County Council, Government, Government Publication, Government and Participation, Open Data, government",536,"FCC, Citizens Charter, CPLJS"
Owner-occupied housing price index (2015=100) - annual data,"Expenditure and investment, Geopolitical entity (reporting), Time frequency, Unit of measure",3020,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Fish Landings,"FLA02, cso, fishery",2610,"HFC14, cso, fish-eries"
"The indicator shows the percentage distribution of persons in employment aged 20-64 by job duration, i.e. for how many months they have been in their current job. Persons in employment are those who, during the reference week, performed work, even for just one hour a week, for pay, profit or family gain or who were not at work but had a job or business from which they were temporarily absent because of something like illness, holiday, industrial dispute or education and training. The indicator is based on the EU Labour Force Survey.","Age class, Duration, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1232,"Age class, Duration, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"Csv address file of the municipality of Roche. 
Code Insee 42188","42188, adresse, ban, csv, roche",1612,"42188, adresse, csv, roche"
"This dataset contains eDNA metabarcoding data of fish species detected in 17 locations in the Belgian Part of the North Sea (BPNS). The seawater samples were collected during a field campaigns in 2022. The fish species were identified using 12S eDNA metabarcoding. The dataset includes amplicon sequence variants and their associated metadata. 
[This dataset was processed using the GBIF eDNA converter tool.]","North Sea, Occurrence, eDNA, trawl",3105,"biodiversity, biogeochemistry, edacology, environment, iinsight, intellegence, oceanographic geographical features, oceanic biogeography"
"Average Wind Speeds (meters per second) published in the Renewable Energy Strategy for County Roscommon as part of the Roscommon County Development Plan 2014-2020. Dataset 
Publisher: Forward Planning Section, Roscommon County Council, Dataset 
language: English, Spatial 
Projection: Web Mercator, Date 
of Creation: 2014, Last 
Updated: 2014, Update 
Frequency: As Required. Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete. Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Energy, Planning, Planning and Development, Roscommon, Roscommon County Council, Wind, dgienergy",622,"Development Plan, Housing and Zoning, Local Area Plan, Planning, Planning and Development, Roscommon, dgihousing"
Renewable cooling - ambient energy by technology,"Energy balance, Geopolitical entity (reporting), Time frequency, Type of network, Unit of measure",2111,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Population on 1 January by age groups and sex - cities and greater cities,"Geopolitical entity (declaring), Time frequency, Urban audit indicator",478,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Urban audit indicator"
"Persons visiting a doctor in the last 12 months by medical speciality, frequency, most frequent activity status, degree of urbanization and income quantile","Degree of urbanisation, Frequency, Geopolitical entity (reporting), Income quantile, Medical speciality, Time frequency, Unit of measure",1668,"Degree of urbanisation, Frequency, Geopolitical entity (reporting), Medical speciality, Income quantile, Time frequency, Unit of measure"
Landings of fishery products in Norway,"Geopolitical entity (reporting), Presentation form, Species, Time frequency, Unit of measure",460,"Maritime entity (declaring), Time frequency, Unit of measure"
"Foreign-born population by time required to find the first paid job in the host country, sex, age and citizenship","Age class, Country of citizenship, Duration, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1054,"Age class, Country of citizenship, Time period, Sex, Unit of measure"
Population by citizenship and country of birth - cities and greater cities,"Geopolitical entity (declaring), Time frequency, Urban audit indicator",485,"Country/region of birth, Geopolitical entity (reporting), Time frequency, Unit of measure"
Asylum applicant means a person having submitted an application for international protection or having been included in such application as a family member during the reference period. New asylum applicant means a person having submitted an application for international protection for the first time,"Age class, Applicant type, Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1601,"Age class, Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"The UrbIS - Land cover product corresponds to the dataset of physical and biological surfaces in the Brussels Region. This dataset is composed of four geometric classes. The first class corresponds to bridges. The second corresponds to tunnels, the third corresponds to street surfaces (some objects located in Flanders have been integrated for visual continuity), and the fourth corresponds to blocks including forests, parks, and bodies of water.

The dataset is freely downloadable as a zipped file and via the ad hoc WFS.","72 GEOGRAPHY, Environment, Land cover, Regional, land cover",2067,"Brussels, Open Data, land-cover, urbis"
"Table of INEBase
Overall index by province. Series from January 1993. Monthly. Provinces. Consumer Price Index (CPI)","Index, Overall index, Prices, Provinces, Statistics, Type of data",1115,"Base data, Prices, Provinces"
Container transport by type of goods and country/region of loading and unloading (from 2007 onwards),"Country/region of loading/embarking, Country/region of unloading/disembarking, Geopolitical entity (reporting), 20 group), Time frequency, Unit of measure",1568,"Country/region of loading/embarking, Geopolitical entity (reporting), Time frequency, Type of goods, Unit of measure"
EU27 (from 2020) trade by BEC product group,"External trade indicator, Geopolitical entity (partner), Geopolitical entity (reporting), Stock or flow, Time frequency",901,"External trade indicator, Geopolitical entity (partner), Geopolitics and settlements"
"Data on: (1) (Dataset 1) spatial distribution of urban beekeeping (number of hives and number of beekeeping locations) in 14 Swiss cities (Geneva, Lausanne, Biel, Neuchatel, Basel, Zurich, Chur, Luzern, St. Gallen, Winterthur, Bern, Lugano, Bellinzona, Thun) for the period 2012-2018; (2) (Dataset 2) aggregated data to model the sustainability of urban beekeeping.","honeybees, pollination, remote-sensing, sustainability, urban-biodiversity, urbanization",1825,"beekeeping, urban-bearing-infrastructure, sustainability"
Short-stay accommodation offered via collaborative economy platforms by months and residence of the guest - experimental statistics,"Country of residence, Geopolitical entity (reporting), Month, Time frequency, Tourism indicator, Unit of measure",2045,"collaborative-economy, data, guest-reception-times, residence, tourism-and-travel, visitor-count"
"This feature class shows the location of Navigational beacons around Ireland. The Commissioners for Irish Lights are responsible for the superintendence and management of all aids to marine navigation around the coast of Ireland and its adjacent waters. 
This data has been downloaded from the MIDA Atlas hosted by the CMRC.","coastal heritage, environment, heritage council, navigation beacons, oceans, sea regions, structure",287,"coastal heritage, environment, historic sites, ireland, marine institute, society"
"Table of INEBase
Number of stays and nights by traveller residence. Tourist sites. Monthly. Municipalities. Occupation in tourist accommodations","Average stay, Municipalities, Number of nights, Number of stays, Residence, Residents abroad, Residents in Spain, Statistics, Touristic Concept",1367,"Residence, Residents abroad, Residents in Spain, Statistics, Tourist supply, Touristic Concept"
Social Protection Expenditure,"SPEA03, cso, government-accounts",2462,"SPEA04, cso, national-accounts"
"The indicator is calculated as the distance between the median equivalised total net income of persons below the at-risk-of-poverty threshold and the at-risk-of-poverty threshold itself, expressed as a percentage of the at-risk-of-poverty threshold. This threshold is set at 60 % of the national median equivalised disposable income of all people in a country and not for the EU as a whole. The EU aggregate is a population weighted average of individual national figures. In line with decisions of the European Council, the risk-of-poverty rate is measured relative to the situation in each country rather than applying a common threshold to all countries.","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",173,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"The National Forest Inventory (NFI) is a periodic survey of condition and development of the Swiss forest. It is produced in close cooperation between the Federal Office for the Environment (FOEN) and the Swiss Federal Institute for Forest, Snow and Landscape Research (WSL). This record contains information about: sample size (number of forest plots), growing stock (stemwood), deadwood quantity, deadwood quantity per forest area, deadwood volume (merch. wood without piles of branches), lying, deadwood volume (merch. wood without piles of branches), lying per forest area, growing stock (stemwood) per forest area, total wood volume (stemwood), total wood volume (stemwood) per forest area, volume of deadwood (stemwood), volume of deadwood (stemwood) per forest area, total basal area per forest area, total number of stems, area of vehicle tracks (soil disturbance), area of vehicle tracks (soil disturbance) per forest area, deadwood volume of stumps, deadwood volume of stumps per forest area, biomass of stumps, biomass of stumps per forest area, total number of stems per forest area, number of microhabitats on standing living trees per forest area, deadwood volume (merchantable wood), lying, deadwood volume (merchantable wood), lying per forest area, forest area, number of stems, number of stems per forest area and basal area per forest area","forest, forestry, national-forest-inventory",1343,"forest, forestry, national-forest-inventory"
"Table of INEBase
Separations according to the number of children of the spouses. Annual. Autonomous Communities and Cities. Annulments, Separations and Divorces","Demography and population, No dependent children, Security and justice, Statistics",2958,"Annulments, Divorces and separations, Number of children, Statistics"
Modified Gross National Income at Current Market Prices,"NA001, cso, national-accounts",2022,"NA018, cso, national-accounts"
Number of foreign languages known (self-reported) by educational attainment level,"Age class, Geopolitical entity (reporting), Time frequency, Unit of measure",1784,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Housing cost overburden rate by NUTS region,"Geopolitical entity (reporting), Time frequency, Unit of measure",203,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"E-PRTR data covering reporting for 2007 to 2018 by EU Member States, Iceland, Liechtenstein, Norway, Serbia and Switzerland.","air pollution, environment, health, industrial facilities, ireland, land pollution, waste water, water pollution",285,"External trade indicator, Geopolitical entity (reporting), Time frequency"
"Nitrogen trifluoride and sulphur hexafluoride emission footprints (NF3-SF6 in CO2 equivalent, FIGARO application)","Country of destination, Country of origin, Time frequency, Unit of measure",1854,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Production in services - quarterly data,"Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",860,"Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure"
Child Welfare and Protection Referrals to the HSE and Tusla,"SCQ19, cso, department-of-children-equality-disability-integration-and-youth",2571,"HSPAH12, cso, department-of-children-equality-disability-integration-and-youth"
Pupils and students in education aged 30 and over - per 1000 of corresponding age population,"Geopolitical entity (reporting), Time frequency, Unit of measure",1981,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"Beds in publicly owned hospitals per 1,000 population","HSPAK16, cso, department-of-health",2658,"HSPAE16, cso, department-of-health"
Air and Sea Travel,"ASA03, cso, tourism-and-travel",2556,"STA02, cso, tourism-and-travel"
Applicants having benefited from material reception conditions at the end of the reference year - annual data,"Geopolitical entity (reporting), Time frequency, Unit of measure",1953,"HSPC07, cso, department-of-health"
Distribution of Annual Earnings,"DEA09, cso, earnings",2498,"EAPI06, cso, earnings"
"Measurement data related to the publication „DissecTLS: A Scalable Active Scanner for TLSServer Configurations, Capabilities, and TLSFingerprinting“. It contains weekly TLS and HTTP scan data collected with the DissecTLS, Active TLS Fingerprinting, and JARM approaches.","active-scanning, cc-servers, fingerprinting, tls",2872,"Active-Scanning, DissecTLS, HTTPS, tls, traceroute"
"Employees by educational attainment level, sex, age and full-time/part-time employment (%)","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure, Working time",1280,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"Table of INEBase
Divorces between different-sex spouses according to marital status of the spouses when getting married. Annual. National. Annulments, Separations and Divorces","Civil Status, Demography and population, Divorced men/Divorced women, Security and justice, Single men/Single women, Statistics, Widowers/Widows",2957,"Demography and population, Marital status, Husband/wife, Divorcees, Females, Males, Security and justice, Statistics"
"Table of INEBase
Relative sampling errors of the population with a relationship with the Social Security agency, by type of relationship and whether or not they have a disability. National. Professional Life of People with Disabilities","Persons with disability, Persons without disability, Relationship type, Social Security Pensioners, Statistics, period",2975,"Age class, Aspect of life, Age definition, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"This shows the urban areas where Sewage is collected and released back into the environment without treatment. Untreated waste water is commonly referred to as raw Sewage.  

Further information about Urban Areas with no treatment can be found in the EPA’s Annual Urban Waste Water Report on the EPA website www.epa.ie.","environment, government, ie, industrial waste, plant locations, sewage, sewage disposal, urban wastewater, waste water",407,"environment, government, ie, industrial waste, sewage, septic tanks,  wastewater, urban wastewater"
"Participation rate of employees in education and training (last 4 weeks) by sex, age and size of the local unit","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1132,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
At-risk-of-poverty rate by degree of urbanisation,"Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Unit of measure",104,"Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Unit of measure"
"As an Island nation, fishing has always been economically and socially important to our country. Ireland’s proximity to the rich, productive seas of the North East Atlantic provides an ideal resource on which to continue to develop the seafood sector. Ireland’s coastline, inshore and offshore waters contain some of the largest and most valuable sea fisheries resources in Europe. The NMPF supports management of sea-fisheries resources consistent with relevant environmental sustainability considerations and the development of the sector’s economic and social contribution to rural and coastal communities. The NMPF’s objectives in this sector include continuing to develop a sustainable seafood sector focused on competitiveness and innovation, with growth driven by a skilled workforce delivering value added products in line with market demands; promotion of a sustainable, profitable and self-reliant industry; sustaining primary food producers contributing to food security at a national and European level.  The evaluation of potential impacts on any commercial sea fishing activities needs to be given full consideration. Engagement with the fishing industry and other relevant stakeholders should occur as early as possible in planning or proposal-related processes to afford a chance for proper consideration of the industry’s views.","Marine Spatial Planning, dgihousing, fisheries, open data",648,"Marine Spatial Planning, dgihousing, fisheries, open data"
Total groundwater and surface water abstraction per capita.,"Geopolitical entity (reporting), Time frequency, Unit of measure, Water process, Water sources",3004,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"Young people neither in employment nor in education and training by sex, age and level of disability (activity limitation)","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1242,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Legally induced abortions by mother's age and number of previous live births,"Age class, Birth order, Geopolitical entity (reporting), Time frequency, Unit of measure",2995,"Age class, Number of previous live births, Geopolitical entity (reporting), Time frequency, Unit of measure"
"This dataset presents findings from an environmental impact assessment conducted in 20 different stations, 10 located within the future exclusion zone, and 10 located outside the future zone to serve as a reference. Samples were collected at 20 locations in 2023 using a 0.1 m² Van Veen Grab, assessing sediment grain size distribution and total organic carbon content. Macrobenthos samples were preserved, stained, and analyzed in the laboratory.","Macrobenthos communities, macrobenthos, marine sediment, seabed sediments",1365,"macrobenthos, environmental-impact-assessment, ie, mammal-composition-diversity, microbiology, sediment"
"TRIPS, Nights and Average Length of Stay of Foreign Resident Overnight Visitors","ITM05, cso, tourism-and-travel",2159,"VSA12, cso, tourism-and-travel"
Number of registered and living cows in Switzerland.,"cattle, livestock, population-trends, switzerland",993,"livestock, population-trends, switzerland"
Population in jobless households,"Employment indicator, Geopolitical entity (reporting), Time frequency, Unit of measure",1139,"Geopolitical entity (reporting), Time frequency, Unit of measure"
Hospital Admissions,"HR024, cso, health-research-board",2378,"HSPAE26, cso, department-of-health"
RIP Daily Death Notices,"RIP02, cso, mortality-figures-using-public-data-sources",2255,"RIP13, cso, department-of-health"
"Persons who cannot afford to regularly participate in a leisure activity by age, sex and income group","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",156,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"This is a points Dataset of licensed and licensable Section 4 Discharges to water to support the characterisation of waterbodies for the 2nd Cycle of River Basin Management Planning. These sites were collected by RPS, upon Appointment by EPA in October 2015. This Dataset takes in account, among other datasets, the Section 4s Dataset developed in 2005 as Point Source pressures for the Article 5 Characterisation and Risk Assessment Report for the Water Framework Directive 2000/60/EC; (European Communities (Water Policy) Regulations 2003 (SI 722 of 2003)).","environment, government, ie, point source pressures, pressure, section 4, section 4s, water framework directive, waterbody, wfd",366,"Direction of flow, Geopolitical entity (reporting), Level of contamination, Time frequency, Unit of measure"
"Meetnetten.be - Occupancy estimates of priority vascular plants species in Flanders, Belgium is a sampling event dataset published by the Research Institute of Nature and Forest (INBO). It is part of the Meetnetten.be suite of monitoring networks for priority species in Flanders, in which data are collected at fixed locations using a standardized protocol (https://meetnetten.be). This dataset data for 13 priority species. Here it is published as a standardized Darwin Core Archive and includes for each sampling event an eventID, date, location and sampling protocol (in the event core) and for each occurrence an occurrenceID, the occupied m2 recorded, status (present/absent) and scientific name (in the occurrence extension). Issues with the dataset can be reported at https://github.com/inbo/meetnets-occurrences/issues
Generalized and/or withheld information: as these are sensitive priority species, location information is generalized to 1, 5 or 10 km Universal Transverse Mercator (UTM) grid cells. Original locations are available upon request.
We have released this dataset to the public domain under a Creative Commons Zero waiver. We would appreciate it if you follow the INBO norms for data use (https://www.inbo.be/en/norms-data-use) when using the data. If you have any questions regarding this dataset, don't hesitate to contact us via the contact information provided in the metadata or via opendata@inbo.be. 
For all published Meetnetten.be datasets, see https://www.gbif.org/dataset/search?project_id=meetnetten.be","Samplingevent, Tracheophyta, monitoring, plants, priority species",1370,"biodiversity, fauna, flora-biology, habitats-and-biotopes, inbo, monitoring networks, priority species, vascular-plants"
"International trade of EFTA and enlargement countries, by reporting country, total product","External trade indicator, Geopolitical entity (partner), Geopolitical entity (reporting), 2006), Time frequency",947,"Country of destination, Geopolitical entity (partner), Geopolitics, Time frequency, Unit of measure"
"This topic presents the situation and expansion of temporarily exposed groundwater in Dresden as of August 2021.
For the individual water areas, which are usually gravel pits, which are not waters within the meaning of the Water Act, the following factual information is offered: 
Information on the creator of the individual area, e.g. Environmental Agency or a specific company (source); Information on the basis on which situation and extent were determined, e.g. surveying, orthographic, TK (GRUNDLAGE); Name (GEWNA); unique numbering (GWNR); Description of the situation (note); a classification of whether it is a water surface, which should also be shown in overview maps (HGWE); Order (order, here: temporarily exposed groundwater and ORND_KZ, here: 9); Whether the area has been measured or not (VERM and VERM_ERL); Area in m² (FLAECHE) as well as change dates.","Datenkatalog, Gewässernetz, OGC::WFS, infoFeatureAccessService, infoManagementService, opendata",1014,"Datenkatalog, Gewässernetz, OGC::WFS, infoManagementService, infoMapAccessService, opendata"
New Group Layer,"Community, Facilities, SDCC, South Dublin, Sports, Youth",574,"BDQ13, cso, department-of-health"
"Participation rate in education and training (last 12 months) by sex, age and level of disability (activity limitation)","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1037,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
"Ecosystem Extent Accounts for Settlements & Other Artificial Areas, Croplands, and Grasslands","GCA14, cso, ecosystem-accounts",2272,"SEA04, cso, ecosystem-accounts"
Use of renewables for heating and cooling - details,"Energy balance, Geopolitical entity (reporting), Time frequency, Unit of measure",2113,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"The Programme for Government is committed to develop comprehensive legislation for the identification, designation, and management of Marine Protected Areas (MPAs) in Irish territorial waters.","Marine Spatial Planning, NMPF, Protected Marine Sites, dgihousing, open data",658,"Marine Spatial Planning, NMPF, protected sites"
"A survey of harbour porpoises (Phocoena phocoena) was carried out within the Blasket Islands candidate Special Area of Conservation (cSAC) to derive density and Abundance estimates and carry out static acoustic monitoring. Single platform line-transect surveys were carried out on six days between 16 July and 1 October 2007. Distance sampling was used to derive g(0), which is the density of harbour porpoises on the track of the vessel. Passionate acoustic monitoring was carried out through the deployment of self-contained click detectors called T-pods, which identify and log the echolocation clicks of harbour porpoises.

A total of 74 tracks were surveyed of a total distance of 460 km. A total of 44 sightings of 102 individual harbour porpoise were recorded. Sightings of 25 common dolphins (Delphinus delphis), five minke whales (Balaenoptera acutoratrata) and two basking sharks (Cetorhinus maximus) were recorded.","biodiversity, biota, cetacean, environment, ireland, mammal, marine, marine fauna, npws, species distribution",388,"biodiversity, biota, environment, ireland, mammal, marine, marine fauna, npws, species distribution"
A Register of Hydrometric Stations in Ireland.,"environment, flow, flow monitoring, hydrography, ie, monitoring, river, water",348,"coastal heritage, environment, historic ports, ireland, planningcadastre, sea regions"
Import prices in industry - annual data,"Business trend indicator, Geopolitical entity (reporting), Seasonal adjustment, Time frequency, Unit of measure",455,"BOP_item, Geopolitical entity (partner), Geopolitic entity (reporting), Seasonal adjustment, Stock or flow, Time frequency, Unit of measure"
List of pharmacies approved by the Canton of BL,"adressdaten, adresse, apothekerinnen, geodaten, heilmittel, impfen, impfung, pharmazie, points-of-interest, standortdaten",1761,"Pharmacies, Approved, Local pharmacies, pharmacists"
Birthweight of Infants,"SCA01, cso, department-of-children-equality-disability-integration-and-youth",2578,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"Roscommon County Council Governance Board Member Remuneration amounts for 2015. Dataset Name: Roscommon Governance Board Member Remuneration 2015 Dataset Publisher: Roscommon County Council, Dataset Language: English, Date of Creation: 2015, Last Updated: 2015, Update Frequency: N/A, Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete. Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Budget, Economy  Finance, Roscommon, Roscommon County Council, dgieconomy",1755,"Governance, Members, Retired, Roscommon County Council, dgigovernment"
"EU/EFTA born population of working age who usually resides in another EU/EFTA country by country of birth, age and sex","Age class, Country of residence, Country/region of birth, Sex, Time frequency, Unit of measure",1178,"Age class, Country/region of birth, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Fuel Used in Electricity Production,"SEI04, cso, sustainable-energy-authority-of-ireland",2245,"FUE07, cso, energy-resources-infrastructure"
"Generalised Zoning Types developed for the Myplan project. This represents a consistent zoning scheme across all local authorities, and complements (rather than replaces) the existing statutory zoning used for each individual plan. https://data-housinggovie.opendata.arcgis.com/","GZT, Zoning, development, dgihousing, future zoning",1851,"GZT, Local Authority, Planning and Development, zoning"
Persons with certain chronic diseases that are receiving care at home,"HSPAH13, cso, department-of-health",2539,"HSPAH11B, cso, department-of-health"
"Table of INEBase
Average stay by Autonomous Communities and provinces. Monthly. Hotel Occupancy Survey","Catering and tourism, Hotel Occupancy Survey, Statistics, Tourist supply",1034,"Average stay, Catering and tourism, Hotel Occupancy Survey, Provinces, Statistics, Tourist supply, Touristic Concept"
Registrations of Domestic Waste Water Treatment Systems,"DWA01, cso, water-and-waste-water",2279,"RWTS01, cso, waste-water-treatment-systems"
"Galway County Protected Views.
Produced as part of the Galway County Development Plan 2022-2028. See Appendix 4
Landscape Character Assessment and www.galway.ie for further
details. Galway has a significant number
of expansive views, many of which are readily recognisable on postcards,
brochures and websites. The Schedule of Protected Views and the accompanying
map identifies 52 Viewing Points. Note that these should be examined alongside
the designated Scenic Routes and Sensitivity Map. Galway County Council provides this information with the understanding that it is not guaranteed to be accurate, correct, or complete. Galway County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","2022, CDP 2022, Development Plan, Galway, Galway County Council, Planning, Planning and Development, Protected, Views, dgihousing",758,"2022, CDP 2022-2028, Development Plan, Galway, Galways County Council, Planning, Planning and Development, Views"
"Population by sex, age, migration status, citizenship and educational attainment level (1 000)","Age class, Country of citizenship, Geopolitical entity (reporting), Migration status, Sex, Time frequency, Unit of measure",1072,"Age class, Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure"
Number of New Entrants,"NPO02, cso, education",2520,"NEET01, cso, education"
"Agreement level with the statement ""Men may be too embarrassed to say they have been raped"" (% of persons aged 18 years and over who did not experience sexual violence in their lifetime or sexual harassment in the last 12 months)","SVS274, crime-and-justice, cso",2592,"SVS242, crime-and-justice, cso"
Industrial Stocks,"QSA03, cso, industry",2237,"STA22, cso, national-accounts"
"The Financial account records transactions that involve financial assets and liabilities that have taken place between residents and non-residents. The financial account shows transactions in net terms: net acquisitions of financial assets correspond to acquisitions of assets less reductions in assets. According to the functional sub-division cross-border financial transactions and positions are classified as Direct investment, Portfolio investment, Financial derivatives (other than reserves) and employee stock options, Other investment, and Reserve assets. Cross-border financial transactions and positions are further classified by type of instrument and institutional sector. The financial account together with the current and capital accounts forms the Balance of Payments (BoP). The data are expressed in million of national currency. The indicator is based on the Balance of Payments (BoP) data reported to Eurostat by the EU Member States. Definitions are based on the IMF's Sixth Balance of Payments Manual (BPM6).","BOP_item, Currency, Geopolitical entity (partner), Geopolitical entity (reporting), Sector (ESA 2010), Stock or flow, Time frequency",1380,"BOP_item, Geopolitical entity (partner), Geopolital entity (reporting), Seasonal adjustment, Sector (ESA 2010), Stock or flow, Time frequency, Unit of measure"
Trade shares by invoicing currency (from 2010 onwards),"Currency, Geopolitical entity (partner), Geopolitical entity (reporting), 2006), Stock or flow, Time frequency, Unit of measure",704,"Currency, Geopolitical entity (partner), Geopolital entity (reporting), Stock or flow, Time frequency"
Percentage of Ecosystem Types at National Level,"ESEA03, cso, ecosystem-accounts",2584,"SCA09, cso, ecosystem-accounts"
Mean nightly accommodation costs of overnight foreign resident visitors,"ITA12, cso, tourism-and-travel",2197,"Country of residence, Geopolitical entity (reporting), Time frequency, Unit of measure"
"Total educational expenditure by education level, programme orientation and type of source","Geopolitical entity (reporting), Sector, Time frequency, Unit of measure",2041,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"The Dinamo transport network (Dinan Agglomeration) opens data on regular lines of its public transit service.

You can find here the theoretical offer of the network (lines, stops, routes, schedules, unit rate) in standard GTFS format. 
The data is updated periodically when the transport offer changes.","bus, dinan, dinan-agglomeration, gtfs, transport",3100,"Dinamo, Freight, GTFS, Open Data, transport"
Role of Women and Men in National Decision Making,"WMI10, cso, women-and-men-in-ireland",2423,"WMI12, cso, women-and-men-in-ireland"
Business Demography,"BRA34, business-sectors, cso",2251,"BDA02, business-sectors, cso"
"Intra-corporate transferee permits issued by type of permit, economic sector and citizenship","Country of citizenship, Geopolitical entity (reporting), Reason, Time frequency, Unit of measure",1919,"Country of citizenship, Geopolitical entity (reporting), Time frequency, Type of permit, Unit of measure"
"Gross domestic product (GDP) is a measure for the economic activity. It refers to the value of the total output of goods and services produced by an economy, less intermediate consumption, plus net taxes on products and imports. GDP per capita is calculated as the ratio of GDP to the average population in a specific year. Basic figures are expressed in purchasing power standards (PPS), which represents a common currency that eliminates the differences in price levels between countries to allow meaningful volume comparisons of GDP. The values are also offered as an index calculated in relation to the European Union average set to equal 100. If the index of a country is higher than 100, this country's level of GDP per head is higher than the EU average and vice versa. Please note that this index is intended for cross-country comparisons rather than for temporal comparisons. Finally, the disparities indicator offered for EU aggregates is calculated as the coefficient of variation of the national figures. This time series offers a measure of the convergence of economic activity between the EU Member States.","Geopolitical entity (reporting), Time frequency, Unit of measure",1867,"Geopolitical entity (reporting), Time frequency, Unit of measure"
"Table of INEBase
Overnight stays by continent of origin. National and Autonomous Communities. Annual. Autonomous Communities and Cities. Occupation in tourist accommodations","Africa, America, Continents, Europe, Oceania, Other countries, Rest of Europe, Spain, Statistics",1609,"Country of residence, Geopolitical entity (reporting), Time frequency, Unit of measure"
"Annual expenditure on educational institutions per pupil/student based on FTE, by education level and programme orientation","Geopolitical entity (reporting), Sector, Time frequency, Unit of measure",1961,"Geopolitical entity (reporting), Time frequency, Unit of measure"
