updated_description,updated_keywords,__index_level_0__,generated_keywords
"The Royal Decree of 22 May 2019 establishing a marine spatial plan defines 6 measuring poles: Measuring pole MOW.0 (Art. 21§2), Measuring pole MOW.1 (Art. 21§2), Measuring pole MOW.2 (Art. 21§2), Measuring pole MOW.3 (Art. 21§2), Measuring pole MOW.4 (Art. 21§2), Measuring pole Westhinder (Art. 21§2). It replaces the 2014 Marine Spatial Plan, which is included for completeness. The Royal Decree of 20 March 2014 establishing a marine spatial plan defines in its Art. 15. §3, one set of measuring pole locations. These locations are made available digitally in the resource described by this metadata document. Please refer to the Belgian official gazette (\""Moniteur belge/Belgisch Staatsblad\"") for official reference information.","Environmental monitoring facilities, Federal government, Marine Spatial Plan, National, Reporting INSPIRE, marine monitoring",807,"decree of 22 may 2019, measurement pole"
Mean Nightly Accommodation Costs and Daily Day-to-Day Expenditure of Foreign Resident Overnight Visitors,"ITM07, cso, tourism-and-travel",2157,"Accommodation, overnight"
Number of persons by working status within households and household composition (1 000),"Geopolitical entity (reporting), Household composition, Time frequency, Unit of measure",1313,"number of, household"
Structure of consumption expenditure by activity and employment status of the reference person and COICOP consumption purpose,"Geopolitical entity (reporting), Time frequency, Unit of measure",2069,"economics, consumption"
Asylum applicant means a person having submitted an application for international protection or having been included in such application as a family member during the reference period. New asylum applicant means a person having submitted an application for international protection for the first time,"Age class, Applicant type, Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1601,asylum-asylum
"The collection is based on the Regulation (EC) 91/2003 of the European Parliament and of the Council of 16 December 2002 on Rail transport statistics. Data displayed in this table cover the Rail transport of passengers which relate Rail passengers transport in the Member States on its national territory. Member States may exclude railway undertakings which mainly provide local tourist services, such as preserved historical steam railways. They are not covered in these statistics.","Geopolitical entity (reporting), Time frequency, Transport coverage, Unit of measure",717,railway
Early leavers from education and training by sex and level of disability (activity limitation),"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1164,sex
"The UrbIS - Parcels and buildings product corresponds to the dataset of  two-dimensionally modeled buildings located in the Brussels Region and the Cadastral Parcel Plan. This dataset is composed of three geometric classes. The first class corresponds to buildings. The second corresponds to addresses, and the third to cadastral parcels. The third class comes from the FPS Finance. Its licence applies to the third class.

The dataset is freely downloadable as zipped files and via the ad hoc WFS.","Address, Addresses, AgriBuilding, Buildings, Cadastral Parcel, Cadastral parcels, Population and society, Regional, building",2068,"buildings, parcels, Brussels"
"Location of Wildflower areas within SDCC County. Polygon data identifying location, type, terrain and area.","Environment, Parks, Parks and Recreation, SDCC, Wildflower, Wildflower Areas, dgienvironment",585,Wildflower area
"Dataset Publisher: Forward Planning Section, Roscommon County Council, Dataset language: English, Spatial Projection: Web Mercator, Date of Creation: 2015, Last Updated: 2015, Update Frequency: As Required, Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete.
Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Boyle, Housing and Zoning, Local Area Plan, Planning, Planning and Development, Roscommon, dgihousing",1732,"Roscommon County Council, Forward Planning Section"
"Foreign-born population by main obstacle to get a suitable job, sex, age, country of birth and educational attainment level","Age class, Barriers, Country/region of birth, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1065,country of birth main obstacle to get a suitable job sex age
"Dataset Publisher: Forward Planning Section, Roscommon County Council, Dataset language: English, Spatial Projection: Web Mercator, Date of Creation: 2008, Last Updated: Nov 2008, Update Frequency: From Required. Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete. Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Housing and Zoning, Local Area Plan, Planning, Planning and Development, Roscommon, dgihousing",1758,"Roscommon County Council, Forward Planning Section, Spatial projection, Web Mercator, country, English language, Created, Nov 2008"
"This table presents the global supply and use relationships of 64 industries (NACE); the data cover the period from 2020 onwards and distinguish 27 EU Member States, 18 main EU trading partners and a ‘Rest of the world’ region.","Country of destination, Country of origin, Industries, Time frequency, Unit of measure",2805,"EU, supply, use"
Subjective poverty by degree of urbanization,"Degree of urbanisation, Geopolitical entity (reporting), Time frequency, Unit of measure",239,urbanization
Resettled refugees means persons who have been granted an authorisation to reside in a Member State within the framework of a national or Community resettlement scheme.,"Age class, Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",2037,refugee
"Persons feeling left out from society by sex, age and educational attainment","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1688,"sex, age, educational"
A LiDAR-based point cloud dataset of more than one million building point clouds.,"building, built-environment, energy-efficiency, energy-performance, energy-performance-certificate, energy-rating, lidar, point-cloud, renovation",2916,building
"Ireland’s marine waters host a rich and diverse range of species and habitats, including important fish spawning and nursery areas. Ecosystems provide a series of services for human well-being (ecosystem services) either directly (as food and fibre) or indirectly by providing clean air and water. Biodiversity plays a key role in the functioning of ecosystems and their ability to provide ecosystem services. The value of biodiversity and benefits from ecosystem services reach far beyond that which can be measured in financial terms. Evidence from monitoring of natural habitats and species in Ireland’s marine environment indicates that many habitats are not in good condition. Protecting and improving the condition of marine habitats and ecosystems is a challenge for all users of the sea.","Biodiversity, Marine Spatial Planning, NMPF, dgihousing, dolphin, gannet, kittiwake, open data, puffin, seabird, seal, turtle",642,"aquatic habitats, ecosystem services"
"This dataset contains spatial data from a 2017 survey of the wetlands of Roscommon and Longford. Only wetlands in Roscommon are included in this dataset. The survey was a joint initiative of Longford County Council, Roscommon County Council, and Wetland Surveys Ireland. The project was made possible through the financial support of Longford County Council, Roscommon County Council, and The Heritage Council. Dataset Publisher: Roscommon County Council, Dataset language: English, Spatial Projection: Web Mercator, Date of Creation: 2017, Update Frequency: As Required, Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete. Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Heritage, OpenSpatialIE, Roscommon County Council, Survey, dgiarts, roscommon, wetlands",637,"oscean, county, Roscommon, Roskomunned, Longford"
Infant mortality by age and sex,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1244,"age, sex"
"The business organisations represent an organisational structuring of the transport companies according to billing and customer information characteristics.

The business organisations are identified by their Swiss Business Organisation ID (SBOID). The data set also contains the Swiss Administration ID (SAID), which is part of the SBOID and can be used for defined use cases (e.g. Swiss Journey ID).

The data set contains: The data from today (actual), timetable change, and all.","bus, business-organisation, business-register, data, mobility-service-provider, on-demand-bus, proprietary, swiss-administration-id, swiss-business-organisation-id, train, transport-company, transport-operator",1120,"belgium, businessorganisation, date, swiss"
The indicator is defined as the absolute difference between males and females in the relative income of elderly people (65 and more) for single-person households.,"Geopolitical entity (reporting), Sex, Time frequency, Type of household",69,"males, females"
"Technical data from the Bavarian Road Information System, specialist networks.","baysis, bedarfsumleitungen, bundesfernstraßen, gdiby, mcloud_category_roads, opendata",1089,"Bavarian Road Information System, specialist"
"Table of INEBase
Divorces according type of divorce and sex of the spouses. Annual. National. Annulments, Separations and Divorces","Contentious divorce, Demography and population, Divorce type, No Contentious divorce, Security and justice, Statistics",2966,"inesbase, divorce"
"Number of equids with at least one change of holding (relocation, import, export, or ownership change with relocation) by year and by total of relocations by equid (Liechtenstein included).","companion-animals, equids, livestock, relocation",909,"equid, change, holding"
"First-time graduates by education level, sex and age group","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1502,sex
"Location of Calisthenics areas within SDCC
County. Point data identifying
location and name included.","Calisthenics, Environment, Parks, Parks and Recreation, Recreation, SDCC, dgienvironment",520,calisthenics
"Inland waterway transport progressed by only 17 % in nearly three decades. It should however be noted that the efficiency of this transport mode made a big step forward since the transport performance was done with a considerably reduced vessel fleet. For some countries, like the Netherlands, it is the second mode of transport after road, and for other countries, it still has a major share of the market.","Geopolitical entity (reporting), Time frequency, Transport coverage, Type of vessel, Unit of measure",471,"country, land, waterway"
Distribution of population by housing cost burden and tenure status,"Geopolitical entity (reporting), Tenure status, Time frequency, Unit of measure",68,distribution of population by housing cost burden and tenure status
Savings and Capital Formation,"NA013, cso, national-accounts",2016,savers
"Community Facilities in County Roscommon including Community Centres, Youth Facilities, and Education and Development Facilities. Dataset Publisher: Roscommon County Council, Dataset language: English, Spatial Projection: Web Mercator, Date of Creation: 2011, Update Frequency: As Required. Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete. Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Community, OpenSpatialIE, Population and Society, Roscommon, dgipopulation",635,"County Roscommon, community centres"
"Public and Community Parks in County Roscommon. Dataset Publisher:
Roscommon County Council, Dataset language:
English, Spatial Projection:
Web Mercator, Date of Creation:
2011, Update Frequency:
From Required. Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete.
Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Community, OpenSpatialIE, Park, Population and Society, Public Services, Recreation, Roscommon, Roscommon County Council, dgihealth",1751,"County Roscommon, Public and Community"
"Dedicated areas according to §6 StrWG S-H

Publisher: City of Norderstedt
Office for Building Regulations and Surveying
Department of Contributions and Surveying 
Subject area Contributions","Verkehrsweg, infoCatalogueService, infoFeatureAccessService, infoMapAccessService, opendata",2829,Dedicated areas according to 6 StrWG S-H
Wood and Paper Exports and Imports Value,"WPEI03, cso, forestry",2566,"Wood, paper"
"The data contains the geometries, electronic structure parameter input (FHI-aims code) and ACKS2 matrix element files for a small test set of aromats to validate the f-ACKS2 technique. Additionally, a python-code minimal working example is given on how to read the matrix elements from file.","classical-force-fields, density-functional-theory, organic-solids, polarization",2942,acks2
Same Day Visits,"HTQ21, cso, tourism-and-travel",2294,"date,time"
"Extra-EU trade of mineral fuels, lubricants and related materials (SITC 3) by partner","External trade indicator, Geopolitical entity (partner), Geopolitical entity (reporting), 2006), Time frequency",1018,"transport, minerals, fuels, lubricants"
"As an Island nation, fishing has always been economically and socially important to our country. Ireland’s proximity to the rich, productive seas of the North East Atlantic provides an ideal resource on which to continue to develop the seafood sector. Ireland’s coastline, inshore and offshore waters contain some of the largest and most valuable sea fisheries resources in Europe. The NMPF supports management of sea-fisheries resources consistent with relevant environmental sustainability considerations and the development of the sector’s economic and social contribution to rural and coastal communities. The NMPF’s objectives in this sector include continuing to develop a sustainable seafood sector focused on competitiveness and innovation, with growth driven by a skilled workforce delivering value added products in line with market demands; promotion of a sustainable, profitable and self-reliant industry; sustaining primary food producers contributing to food security at a national and European level.  The evaluation of potential impacts on any commercial sea fishing activities needs to be given full consideration. Engagement with the fishing industry and other relevant stakeholders should occur as early as possible in planning or proposal-related processes to afford a chance for proper consideration of the industry’s views.","Marine Spatial Planning, dgihousing, fisheries, open data",647,"ireland, sea, fishing"
"Distribution of the age at first calving (AFC, in months) by year of slaughter and by breed type of the cow (dairy breeds or beef breeds). The AFC is shown in the range of 20-50 months in the form of a boxplot. The number of observations per year and by breed type can be found in the .csv.","age, calving, cattle, livestock",920,cow
Timeseries of watertemperature data obtained from the MARNET network. The MARNET network comprises of 11 stations in the North Sea and in the Baltic Sea,"BSH, Baltic Sea, North Sea, Open Data, current direction, hourly data, open data, opendata, profile, timeseries, water column",1007,MARNET_NETWORK_SITES_IN_THE_NORTH_MEA
"Public Slipways in County Roscommon. Dataset Publisher: Roscommon County Council, Dataset language: English, Spatial Projection: Web Mercator, Date of Creation: 2011, Update Frequency: As Required. Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete. Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Community, Fisheries, OpenSpatialIE, Public Services, Recreation, Roscommon, Slipway, Sports, dgiagriculture",603,roscommon county council create 2011 update frequency
Voluntary and private nursing home expenditure and public nursing home expenditure under the Fair Deal scheme,"HSPAC112, cso, department-of-health",2540,"expenditure, nursing home"
This is an interactive interactive Map of the following Wifi Entaties in Fingal County Council. Small Census Area 2011 Townlands Electoral Division County Boundary Click each layer to see individually or a whole,"Admin Boundaries, Corporate, County Boundary, Electoral Divisions, Environment and Energy, Government, Government and Participation, LEA, Townlands, Wifi",534,"information, fingal county council"
New Dwelling Completions Building Energy Rating Match Rates,"NDA09, construction, cso",2355,"building, energy, match"
"Dataset received from Fingal County Council September 2010 

Dataset represents Historic Graveyard locations within Fingal","buildings, economy, fingal historic graveyards, heritage council, historic coastal heritage, protected sites, society",289,"county, fingal, graveyard"
"Pedestrian footfall Counts at a number of locations within the Dún Laoghaire-Rathdown County Council administrative area. Pedestrian Counts are available from seven locations throughout the county, each of which bidirectional records pedestrian traffic. Data is provided in hourly intervals (i.e. the data at 11:00 am corresponds to the Counts saved between 11:00 am and 12:00 am). Data gaps are due to a cycle counter fault or due to a battery requiring replacement.","DLR, DLRCC, Dun Laoghaire-Rathdown, Transport and Infrastructure, footfall, footpaths, mobility, pedestrian, pedestrian-counts, pedestrian-footfall, pedestrian-movement",982,pedestrian footfall
"Persons reporting basic activity difficulty by sex, age, level of difficulty, type of basic action and risk of poverty threshold","Age class, Geopolitical entity (reporting), Health problems, Level of difficulty, Sex, Time frequency, Unit of measure",1653,"sex, age, level of difficulty, type of basic action, risk"
"Roscommon County Council Road Schedule Dataset Publisher: Roscommon County Council, Dataset language: English, Spatial Projection: Irish Transverse Mercator, Date of Creation: 2020, Update Frequency: As Required. Roscommon County Council provides this information with the understanding that it is not guaranteed to be accurate, correct or complete. Roscommon County Council accepts no liability for any loss or damage suffered by those using this data for any purpose.","Administration, Road Schedule, Roscommon County Council",633,"Roscommon County Council Road Schedule, Irish Transverse Mercator"
"This Dataset contains a complete coverage for all mapped and digitised meltwater features for the island of Ireland. The map forms part of the GSI Quaternary Map series

Data recorded on the map includes the location and outline of the following geomorphological features:

1) Esker Ridge: — Complete coverage for all mapped and digitised locations of eskerbodies for Republic of Ireland including name of the landform, background data source and classification on the feature.The esker features have been compiled from a variety of sources, including academic papers, and the feature outlines were then drawn on OSi Colour Aerial Photography. The Esker is a ship, winding ridge of stratified sand and gravel. Eskers are Frequently several kilometres long and, because of their peculiar uniform shape, somewhat like railway embankment.

2) Meltwater Channels: — Complete coverage for all mapped and digitised meltwater features for Republic of Ireland including name of the landform and background data source. The map forms part of the GSI Quaternary Map series. Data recorded on the map includes the locations of meltwater channels, as well as attribute fields such as data source and channel length.

Data recorded on the maps includes the locations of meltwater channels, as well as attribute fields such as data source and channel length. 

The map together with the catalogue constitute the Dataset","department of communications, earth science, geologic processes, geological survey ireland, geology, geomorphology, geoscientificinformation, glaciation, ireland, science, topography",1580,esker ridge
Place of death of persons receiving Specialist Palliative Care (SPC) services in the community,"HSPAH11, cso, department-of-health",2226,place of death
"A GIS based quantification of Ireland's freshwater salmon habitat asset to determine the habitat quantity (wetted river and lake surface areas) available to migratory salmonids.  The purpose was to inform the further development of salmon stock recruitment models to provide high quality scientific advice to inform the sustainable management of salmon fisheries in Ireland. The identification of these rivers as Salmon, Sea Trout or other types of systems is still valid and has not changed since the 2003 report was published. It should be noted that rivers identified in 2003 as ‘Not considered a significant producer of migratory Salmonids’ or river segments identified as ‘Not utilised by Salmon’ may hold small populations of salmon and/or sea trout which are important in biodiversity terms. Please note that the wetted areas (riverine habitat (m²)) were revised in 2012 (McGinnity et al., 2012). This work built on the 2003 wetted area report (Mc Ginnity et al., 2003). McGinnity, P.,Gargan, P.,Roche, W., Mills, P. & McGarrigle, M. 2003. Quantification of the Freshwater Salmon Habitat Asset in Ireland using data interpreted in a GIS platform. Irish Freshwater Fisheries, Ecology and Management Series: Number 3, Central Fisheries Board, Dublin, Ireland. McGinnity, P. et al., 2012. A predictive model for estimating river habitat area using GIS-derived catchment and river variables. Fisheries Management and Ecology. 19. 69-77.","Fishery District, Habitat, Salmon, Sea Trout, Wetted Area",1694,"b, lake, salmon, fishery, human"
Instance data set used in paper “Flexible assembly layouts in smart manufacturing: An impact assessment for the automotive industry” (not yet published),"automation--technology-selection, branch-and-price, chance-constrained-optimization, operation-flexibility, product-diversity, ramp-up, routing-flexibility",2950,"assembly, automotive"
Driving Tests Delivered and Pass Rate,"ROA31, cso, road-safety-authority-of-ireland",2151,"driving test, pass"
Share of energy from renewable sources,"Energy balance, Geopolitical entity (reporting), Time frequency, Unit of measure",481,renewable energy source
"Data from the 'PLAnetary Transits and Oscillations of stars mission' (PLATO): Detection of terrestrial telluric planets and exploration of their physical properties. This observatory is part of the Montpellier Research Observatory of Environment (OSU OREME, oreme.org). It is labelized in the framework of SNO PLATO.","astronomy, exoplanet, plato, sno-plato, stars",1547,"astronomy, planets, star"
Passenger transport performance of buses and coaches registered in the reporting country by transport coverage,"Geopolitical entity (reporting), Time frequency, Transport coverage, Unit of measure",1976,"bus, coach"
You will find here the list of public events listed by the Nice Côte d’Azur Metropolitan Tourism Office. This dataset is updated daily by the OTM.,"evenement, metropolitain, nice, office, tourisme",482,"event, list, public"
Number of dog imports by breed (includes notifications from Liechtenstein). The evolution of the largest populations is presented. The complete list is available on download (.csv).,"breeds, companion-animals, dogs, imports",904,"breed, import, liechtenstein"
"Slip, trip or fall incidents as reported to NIMS that were classified as major or extreme","HSPAE22, cso, department-of-health",2536,"major, fall"
"Average number of persons per household by household composition, number of children and age of youngest child","Geopolitical entity (reporting), Household composition, Number of children, Time frequency, Unit of measure",1284,"family, child, household"
Intra-corporate notifications received by economic sector and citizenship,"Country of citizenship, Decision, Geopolitical entity (reporting), Time frequency, Unit of measure",1846,"sector, notification"
"Table of INEBase
Employed population by frequency with which they work Sundays, sex and Autonomous Community. Percentages with respect to the total of each Autonomous Community. Quarterly. Autonomous Communities and Cities. Economically Active Population Survey","2 and more, Autonomous Communities, Both sexes, Does not know, Females, Labour market, Males, Sex, Statistics",2057,"INEBase, employed, Sunday, Autonomous Community, percentage"
Arts Council Individual Awards,"WMI12, cso, women-and-men-in-ireland",2391,arts council individual awards
Precautions taken by internet users to limit their tracking online,"ICA218, cso, information-society",2456,online
"Abstract: This data shows the latest Readings available for water monitoring stations in the Office of Public Works hydrometric network. It also has the latest list of valid stations. OD — Water Level in metres from Ordnance Datum (may be either Poolbeg or Malin Head), see each individual station page, accessible from https://waterlevel.ie/ for datum details.Purpose: To support Flood Risk Management objectives through the collection of hydrometric data.","OPW, flooding, floods, hydrometric station, latest reading, levels, real-time data, water level, water monitoring stations",2097,"opws, water, level"
"Topographic map VoGIS summer, including isolines and text, map scale 1:20.000

3 channel RGB grid ECW

Data source: 
TopoKarte_Isoli_Text_20t.ecw","Topographische_Karten, Topokarte_VoGIS, Topokarte_isoli_text_20t",986,gis map verge
Supplementary indicators to unemployment by sex and educational attainment level,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1050,sex
Persons aged 25-69 who wanted to participate more in further education,"AES62, cso, education",2309,"age, education, want"
Gross domestic product (GDP) at market prices is the final result of the production activity of resident producer units. It is defined as the value of all goods and services produced less the value of any goods or services used in their creation. The ESA 2010 (European System of Accounts) regulation may be referred to for more specific explanations on methodology. Data are presented in million units of national currency.,"Geopolitical entity (reporting), Time frequency, Unit of measure",43,fieldName: GDP
Version: Q2 2022Release Date: 12/05/2022 (Date of QA publication)Release Notes: This release includes additional updates of registered owners field. Spatial Reference: Irish transverse MercatorDescription: All sites shown within the “PRA State Assets” layer are folios sourced from searching the prai database and are accurate from the date of that prai search. The registered owner field may have been changed to keep consistency throughout the database.The folio boundary data available on this site is derived from source data provided by the Property Registration Authority (PRA) and is subject to PRA copyright. The currency and accuracy of this data at the time of inspection cannot be guaranteed. Those Wishing to ensure that folio boundary data is the most accurate and up to date available should access this information through landdirect.ie.The information shown within the “PRA State Assets” layer showns sites we believe to be within the ownership of the state However at the time of completing this layer they were not registered with the prai. Please note the State Assets Sourced by the LDA sites have been manually sourced and drawn by the LDA and will be updated regularly.Please contact assetdatabase@lda.ie if we have shown any incorrect information or if we are missing State-owned assets within these layers.Access and Constraints: https://creativecommons.org/licenses/by/4.0/,"LDA, LDA Data, PRA State Assets, State Assets Database, State Land, State Ownership, dgigovernment",1620,lda
The timetable contains the essential topological and temporal elements that enable timetable display and information. The timetable is provided in the HAFAS raw data format (HRDF).,"bus, business-organisation, cableways, data, hrdf, journey, mobility-service-provider, mode-of-transportation, passenger, stop, timetable, train",1320,"hrdf, timetable"
"The collection is based on data from the United Nations Economic Commission for Europe / International Transport Forum / Eurostat Common Questionnaire for Inland Transport Statistics. The Common Questionnaire is not supported by a legal act, but is based on a gentlemen's agreement with the participating countries. Data displayed in this table cover the length of railway lines, whether electrified or not, on the territory of the reporting country. Railway lines are defined as a line of communication made up by rail exclusively for the use of railway vehicles. They consist of one or more adjacent running tracks forming a route between two points. Where a section of network comprises two or more lines running alongside one another, there are as many lines as routes to which tracks are allotted exclusively.","Geopolitical entity (reporting), Number of tracks, Time frequency, Transport infrastructure, Unit of measure",1992,continent
Number of registered and living dogs belonging to a breed classified as potentially dangerous. See also restricted breeds.,"breeds, companion-animals, dogs, population-trends",927,breed dangerous
"Labour market slack by sex, age and NUTS 2 region","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1275,"sex, age, nuts2"
GBARD by socioeconomic objectives (NABS 2007),"Geopolitical entity (reporting), Time frequency, Unit of measure",1933,"bgard, economic, socioeconomic"
"South Dublin County Library locations mapped. To check for address, contact details and opening hours, click on the pin on the map.","Community, Facilities, Libraries, SDCC, South Dublin, arts, dgirecreation, recreation",577,"enclosing_spaces 'North', 'city', ""South Dublin County Library"""
The employment rate of non-EU nationals is calculated by dividing the number of citizens of countries outside the EU27 (from 2020) in employment and aged 20-64 by the total number of citizens of countries outside the EU27 (from 2020) in the same age group. The indicator is based on the EU Labour Force Survey.,"Age class, Country of citizenship, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1169,foreign-born
Annual Consolidated Financial Balance Sheet,"IFI05, cso, national-accounts",2723,balance sheet
Gini coefficient of equivalised disposable income before social transfers (pensions included in social transfers),"Geopolitical entity (reporting), Time frequency",159,"inflation, income, social"
This indicator is the ratio between the number of persons aged 65 and over (age when they are generally economically inactive) and the number of persons aged between 15 and 64. The value is expressed per 100 persons of working age (15-64).,"Demographic indicator, Geopolitical entity (reporting), Time frequency",1462,age group
Projected Population of School going Age from 2022,"PEC21, cso, population-projections",2686,age
Use of renewables for heating and cooling - details,"Energy balance, Geopolitical entity (reporting), Time frequency, Unit of measure",2113,utility
Business Expenditure on Research and Development,"BSA09, business-expenditure-on-research-and-development, cso",2638,Expenditure on research and development
"Hospitalised patients with at least one healthcare associated infection e.g. in-hospital pneumonia, hospital acquired COVID-19","HSPAE26, cso, department-of-health",2217,"infection, hospital"
Hospital Discharges (Including Deaths),"HRA28, cso, health-research-board",2509,death
Number of deaths of registered cats (including notifications from Liechtenstein).,"cats, companion-animals, deaths, euthanasia, traceability",932,Liechtenstein
The ratio of total income received by the 20 % of the population with the highest income (top quintile) to that received by the 20 % of the population with the lowest income (lowest quintile). Income must be understood as equivalised disposable income.,"Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",155,"income, top, quintil"
Ports of vegetables consumed,"HIS40, cso, department-of-health",2524,port
Load capacity of self-propelled vessels by year of construction,"Geopolitical entity (reporting), Time frequency, Unit of measure, Year of construction",1945,Construction year
Length of electric and non-electric railway lines by nature of transport,"Geopolitical entity (reporting), Time frequency, Transport infrastructure, Unit of measure",1973,non-electric
"Employed persons working on Saturdays as a percentage of the total employment, by sex, age and professional status (%)","Age class, Frequency, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1234,"gender, age, professional"
Optoelectronic and structural characterization of dimethylammonium lead iodide (DMAPbI3) thin films functionalized with (rac/R/S)-3-aminobutyric acid (3-ABA) to display circular dichroism,"amino-acids, chiral-semiconductors, chirality, chirality-transfer, circular-dichroism, hybrid-perovskites, linear-dichroism",2932,-3-aminobutyric acid
"Scope based on the statutes of the city of Norderstedt
for the protection of the tree population of 18.8.2016

Publisher: City of Norderstedt,
Office for Urban Development, Environment and Transport 
Department of Nature and Landscape","Naturschutz, Naturschutzrecht, infoCatalogueService, infoFeatureAccessService, infoMapAccessService, opendata",2992,"o.r.d., department of nature and landscape"
Material flow accounts - balancing items,"Geopolitical entity (reporting), Materials, Time frequency, Unit of measure",1887,balance
"Participation rate of employees in education and training (last 4 weeks) by sex, age and size of the local unit","Age class, Geopolitical entity (reporting), Sex, Time frequency, Unit of measure",1132,"sex, age, local unit"
"Percentage of employed adults having a second job by sex, age groups, number of children and age of the youngest child","Age class, Geopolitical entity (reporting), Number of children, Sex, Time frequency, Unit of measure",1167,"age group, number of children, youngest child"
Transport of dangerous goods,"Dangerous goods, Geopolitical entity (reporting), Time frequency, Unit of measure",1448,hazard freight transport
On Road Bicycles Warning Sign with keep distance 5m with high visibility around the county of Fingal County Council,"ActiveTravel, Cycling, Health, Road, Road Safety, Roads and Transportation, Safety, Transportation, Warning Signs",566,on road bicycles warning sign high visibility fingal county council
HICP - monthly data (index),"Geopolitical entity (reporting), Time frequency, Unit of measure",723,hicp
T23 Details of Subsidies and Capital Grants (excluding FISIM) to Enterprises,"NAH23, cso, national-accounts",2751,fisim
Those who experienced sexual violence as an adult by the reasons for not using a service (% of persons aged 18 years and over who experienced sexual violence as an adult and did not use a service),"SVS209, crime-and-justice, cso",2316,"adult, adult.age, child, do not"
This Data set contains detail of the monthly figures of customers in person attending Fingal County Council Offices and the volume of electronic communications (i.e. Emails) to the email address CustomerCare@fingal.ie from 2021 to 2024 inclusive. The amount of telephone calls taken by Customer Care Agents and the resolution data on first point was 80 % – 90 %. In both County Hall and Grove Road Office the first point of contact is the Customer Care Agents and then if not resolved at site the details are forwarded to relevant staff members for action. This free staff in the back offices to carry on with day to day tasks and improves productivity for all our clients/customers within Fingal County Council Administrative Area.,"Customer Care, Dublin, Fingal, Fingal County Council, Government, Government and Participation, Pedestrian Footfall, Public",2128,customer care agent
"This data set contains Segmented Catchments for rivers on a national basis. The data was derived from a digital terrain model, and therefore may not be accurate on a field-scale. The data set should be used with Caution in Karst areas and in areas where there is a high degree of Interconnection between Groundwater and surface water.","catchment, environment, hydrography, hydrology, hydrometric, ie, river catchments, water framework directive",304,"catchment, river, interconnection"
"National Ecosystem Extent Accounts 2000, 2006, 2012, and 2018","ESEA09, cso, ecosystem-accounts",2583,"econens, ecological, ecosystem, extent"
"Cumulative (from start of quarter hour to end of the specified minute) activated volumes to maintain a balance in Elia’s control area, as well as reserve sharing activated to ensure adequacy in the Elia control area. The cumulative volumes per minute are indicated for every product category (if the product was actually used).Only regulation-related measures requested by Elia with a view to offsetting imbalances in the control area are included. At the specified time, the most recent available data are collected and displayed as quickly as technically possible. The cumulative activated volume values published differ from those of the Current System Imbalance, as the latter are instantaneous values. Notice that in this report we only provide non-validated data. This report contains data for the current hour and is refreshed every minute.This dataset contains data from 22/05/2024 (MARI local go-live) on.","Activation, Near real-time",2109,ia
Children who Provide Regular unpaid Personal Help for a Friend or Family Member,"SCA28, cso, department-of-children-equality-disability-integration-and-youth",2559,"Friend, Family"
Hospitals having NEWS (National Early Warning System) implemented in all clinical areas of acute hospitals and single specialty hospitals,"HPSAE214, cso, department-of-health",2216,hospital
